User-ID,ISBN,Book-Rating
276762,3453092007,8
159390,3404122879,10
159390,1853260207,6
159390,3442426677,7
159390,3426771365,8
159390,3404117905,8
159390,3442452643,7
159390,3404283139,8
159390,3404139895,7
159390,3404920821,9
159390,3406330185,9
159390,3453032780,7
159390,3453211871,9
159390,3458161295,6
159390,3502517843,8
159390,3519121433,5
78941,3746616360,9
78941,3442446929,7
78941,3100478258,8
98707,3442424216,7
98707,3426614960,5
98707,3442431964,7
98707,3499146118,7
98707,3717580566,5
142454,3442098424,10
142454,3442442532,10
142454,3426612828,9
142454,3596102871,10
142454,3548256600,5
142454,3426701960,8
142454,3404141970,8
142454,3442351901,10
142454,3404131312,9
142454,3404203739,10
142454,3404203763,10
142454,3404283139,10
142454,3426618265,6
142454,3442356644,8
142454,3453148207,9
142454,3453869753,10
142454,3471773487,7
142454,3522171861,10
142454,3596506239,8
142454,3776622520,10
142454,3785720076,10
35433,3453092007,8
35433,3492231322,7
35433,3453061187,9
35433,3453211014,8
35433,3257228007,10
35433,3453002393,9
35433,3453007867,8
35433,3499150425,10
35433,3426600218,9
35433,3404143744,8
35433,3257233051,5
35433,3404118960,10
35433,3404121686,8
35433,3518390473,4
35433,3499123665,10
35433,3453159926,8
35433,3442431875,9
35433,3442420970,5
35433,3442092639,8
35433,3404144783,6
35433,3455024947,9
35433,3404148665,9
35433,3453052544,10
35433,3548254152,7
35433,3596259924,7
35433,3596282225,6
35433,3404130014,9
35433,3404141849,7
35433,3453003128,8
35433,3453021347,9
35433,3453036972,9
35433,3453171721,9
35433,3257229666,9
35433,3426619466,7
35433,3404128753,10
35433,3453099737,8
35433,3442451140,7
35433,3453033264,8
35433,3442440904,6
35433,3455024998,9
35433,3453210697,8
35433,068140969X,9
35433,3216305082,5
35433,3257056052,10
35433,3257062001,8
35433,3257231180,8
35433,3293000819,9
35433,3404127633,9
35433,3404130081,9
35433,3404139291,8
35433,3404139585,9
35433,3404145151,7
35433,3404147138,9
35433,3404149076,8
35433,3404253418,6
35433,3426608650,9
35433,3426617048,9
35433,3426618672,9
35433,3426771365,5
35433,3426772574,8
35433,3442352355,6
35433,3442352894,7
35433,3442355001,7
35433,3442414806,7
35433,3442415578,7
35433,3442429536,8
35433,3442439973,7
35433,3442447305,7
35433,3442448131,10
35433,3442451221,9
35433,3442451949,9
35433,3442454840,8
35433,3442729106,5
35433,3446200584,8
35433,3453064186,7
35433,3453074971,9
35433,3453092201,8
35433,3453094689,8
35433,3453099168,8
35433,3453116143,8
35433,3453123867,9
35433,3453124499,10
35433,3453125150,7
35433,3453129520,9
35433,3453137140,7
35433,3453147596,5
35433,3453157931,8
35433,3453160819,9
35433,3453162935,9
35433,3453210492,6
35433,3453212924,9
35433,3453213998,9
35433,3453503384,9
35433,3453864980,8
35433,3453868560,9
35433,3455024920,9
35433,3455024963,8
35433,3455024971,9
35433,3455062644,8
35433,3462028448,8
35433,3462032054,6
35433,3471772707,9
35433,3471794336,7
35433,3491240263,9
35433,3491420091,10
35433,3492038891,7
35433,3499226340,6
35433,3499227983,8
35433,3518375806,6
35433,3518383078,7
35433,3522700503,9
35433,3522719255,7
35433,3526417857,8
35433,3548245641,9
35433,3548252729,9
35433,3548253326,9
35433,3548253881,9
35433,3548255019,8
35433,3548255868,8
35433,3548680127,5
35433,3550071434,8
35433,3596116163,8
35433,3596131685,5
35433,3596506271,7
35433,3785706774,7
35433,3785707657,8
35433,3785707886,8
35433,3785708904,8
35433,3785708920,7
35433,3795117569,8
35433,3802533089,8
35433,3898302830,7
211460,3608935428,10
211460,3608935436,10
211460,3404143744,8
211460,044922046X,10
211460,055357258X,10
211460,3404130014,10
211460,3492227694,10
211460,3426609576,10
211460,3426609738,9
196493,3551551677,8
196493,3551551685,9
196493,3596151252,7
196493,3442446759,10
196493,3596150655,7
196493,3453216253,8
196493,3404131215,7
196493,3442416523,9
196493,3453863674,10
196493,3453023757,7
196493,3453053710,8
196493,3404143930,9
196493,3453077571,9
261105,2226135022,10
261105,3453172620,5
261105,068484477X,6
261105,3423204206,1
261105,3499129728,5
261105,3442723833,7
261105,3499222507,10
261105,3746614007,10
261105,3442433495,8
261105,3492221009,10
261105,2253023906,7
261105,3257227264,7
261105,3442750547,8
261105,014004891X,9
261105,3404148665,9
261105,3442726689,10
261105,3442541751,4
261105,2290319872,6
261105,3499129981,5
261105,3596157684,9
261105,3596150981,10
