ISBN,Book-Title,Book-Author,Year-Of-Publication,Publisher,Author_2cluster,Author_3cluster,freq_R,freq_G,freq_B,mean_R,mean_G,mean_B,median_R,median_G,median_B,dominant_R,dominant_G,dominant_B,Pub_Year_Group
3453092007,Die zweite Haut.,Dean Koontz,1995.0,Heyne,1,2,25.423763179237632,13.256150310894837,15.092862935928627,94.5283536742596,53.574605058653184,30.86043672563763,70.42381327039077,21.05664830841857,25.865460267505902,201.0,123.0,62.0,1995.0
3404122879,"Vater Himmel, Mutter Erde.",Sue Harrison,1995.0,L?¼bbe,2,3,193.10662070605017,171.3821466777606,127.22702959705218,149.02080136665404,101.0506031637835,92.81439940930628,154.8290879211175,75.1866902237927,79.45613032294942,176.0,167.0,141.0,1995.0
1853260207,Jane Eyre (Wordsworth Classics),Charlotte Bronte,1997.0,NTC/Contemporary Publishing Company,2,2,26.15612001062041,25.75289848659173,29.361270908929995,126.0113094196194,113.48018100161651,99.80724837848526,129.6670239371204,112.53126116470168,91.41336191496964,201.0,184.0,162.0,1995.0
3442426677,Die Grast?¤nzer.,Susan Power,1997.0,Goldmann,1,2,98.33095464636854,170.66079923882018,69.66444655883286,86.2477360995196,109.982682761143,42.403504949047566,91.36052090472928,95.73714873200822,34.17100753941055,46.0,55.0,18.0,1995.0
3426771365,Nieten in Nadelstreifen. Deutschlands Manager im Zwielicht.,G?¼nter Ogger,1995.0,"Droemersche Verlagsanstalt Th. Knaur Nachf., GmbH &amp Co.",1,1,71.67687687687688,66.32147147147147,62.60825825825826,118.67177720404447,119.8915762208668,112.00817251856552,106.61007900918214,111.61306854580396,101.96732863549008,59.0,57.0,54.0,1995.0
3404117905,Die Insel der f?¼nf Frauen. Roman.,Shirley Conran,1992.0,L?¼bbe,1,1,51.92027972027972,81.95757575757575,16.467599067599068,70.36561055899926,81.52654494571327,42.63563690495844,51.92027972027972,81.95757575757575,16.467599067599068,28.0,47.0,11.0,1990.0
3442452643,Bridget Jones. Am Rande des Wahnsinns.,Helen Fielding,2002.0,Goldmann,2,2,254.3003796267004,254.1002056311294,254.0561531161025,195.0681981844894,155.65661761533252,151.40040683713596,215.2424760601915,164.37859097127222,141.84815321477427,203.0,153.0,128.0,2000.0
3404283139,Im Schatten der Burg.,Marion Zimmer Bradley,1999.0,L?¼bbe,2,2,174.57863247863247,99.19277389277389,10.315306915306916,157.1635214170454,132.50902798234443,97.28404315967164,173.70710973724883,116.00033377837116,79.16889185580774,168.0,103.0,24.0,1995.0
3404139895,Glenraven.,Marion Zimmer Bradley,1998.0,L?¼bbe,2,2,2.3125461643980163,1.613590798775984,1.488656747916007,72.29102076991127,42.70854709645938,36.82856653563048,80.78816434225405,15.57765667574932,14.091798695246972,31.0,15.0,12.0,1995.0
3404920821,Der Sohn des Donnergottes.,Arto Paasilinna,2001.0,L?¼bbe,2,2,244.66338990066225,247.22506208609272,250.6805670529801,130.27125292451055,126.411555260065,147.05499469654265,106.90303331675784,116.02163102933864,122.89825473449685,76.0,67.0,92.0,2000.0
3406330185,Frau und Familie in China (Beck'sche Reihe),Gudula Linck,1988.0,C.H. Beck,2,3,223.30338713945488,196.49404604392697,107.83011378671608,186.7153909674749,169.86026103432118,129.3319908942751,190.2099537666576,174.62640829202343,107.83011378671608,202.0,182.0,116.0,1985.0
3453032780,Die Herrin von Hay. Roman.,Barbara Erskine,1989.0,Heyne,1,1,4.713358324951998,3.266343604279053,3.534973027338393,123.01940619310808,82.74633946774364,58.56525104730213,128.08062880324545,59.8040060851927,51.62877303018424,25.0,14.0,13.0,1985.0
3453211871,Wei??e Spuren.,Fredrik Skagen,2002.0,Heyne,2,3,24.875155022736667,36.90326581231914,26.730191539203528,107.17456305484043,110.37453380666526,70.01325596261687,88.90052716021087,102.9977079990832,55.94911757964703,48.0,59.0,35.0,2000.0
3458161295,"Geschichte der Deutschen, 1949-1990: Eine Chronik zu Politik, Wirtschaft und Kultur",Eckhard Fuhr,1990.0,Insel,1,1,180.99267077103488,178.70262875012216,188.91576272842764,121.18395929769603,109.80869032206442,113.34145509506254,136.62833486660534,120.44158233670652,112.05197792088316,175.0,172.0,181.0,1990.0
3502517843,Dornr?¶schen schlief wohl hundert Jahr...,Gunnar Staalesen,2001.0,Scherz,1,1,11.95223204658184,96.53277981453526,162.99795126159154,113.14006594479694,120.75281683603176,142.7232286687543,135.88373751783166,96.53277981453526,162.99795126159154,39.0,93.0,149.0,2000.0
3519121433,Objektmodellierung.,Max Vetter,1998.0,Teubner Verlag,1,1,253.27639017370748,101.95611059718368,54.80583821564395,200.04165145778364,117.7776612014899,90.8138172093138,221.2009302325581,101.95611059718368,55.37761377613776,248.0,100.0,54.0,1995.0
3746616360,Das Puppenkind.,Eva Maaser,2000.0,Aufbau Tb,2,3,68.52963120869751,48.31784267746749,56.83361756555106,116.0340589447454,120.23574804381433,151.75060332325103,74.40242290748898,123.59750201450444,178.54707985697257,69.0,54.0,68.0,2000.0
3442446929,Der Keltische Ring.,Bj?¶rn Larsson,2000.0,Goldmann,1,1,,,,,,,,,,,,,2000.0
3100478258,Schiffbruch mit Tiger.,Yann Martel,2003.0,"Fischer (S.), Frankfurt",2,3,,,,,,,,,,,,,2000.0
3442424216,"Ich, Prinzessin aus dem Hause Al Saud. Ein Leben hinter tausend Schleiern.",Jean P. Sasson,1994.0,Goldmann,1,1,5.091609589041096,7.619092465753424,9.39640410958904,81.1950630499574,98.76663968609476,110.78167398790536,51.04632384190396,84.8011049723757,115.0148746281343,197.0,209.0,211.0,1990.0
3426614960,Die wei??e Massai.,Corinne Hofmann,2000.0,"Droemersche Verlagsanstalt Th. Knaur Nachf., GmbH &amp Co.",1,1,7.8624238320920785,3.3402843601895733,3.955585646580907,111.39974063108428,77.43031977708863,63.763757267827245,102.20293666447512,53.8531667762437,45.75865735115431,31.0,16.0,15.0,2000.0
3442431964,"Ich, Prinzessin Sultana, und meine T?¶chter. Ein Leben hinter tausend Schleiern.",Jean P. Sasson,1996.0,Goldmann,1,1,16.76116211797258,83.39265501194818,182.95837001635013,51.09044640173419,97.02385776486508,159.79208726731247,29.532001479837216,83.39265501194818,182.95837001635013,17.0,75.0,164.0,1995.0
3499146118,"Deutschland, Deutschland ?¼ber alles. Ein Bilderbuch v. Kurt Tucholsky und vielen Fotografen",Kurt Tucholsky,1980.0,Rowohlt Tb.,1,2,,,,,,,,,,,,,1980.0
3717580566,Aus Mehemed Alis Reich: ?gypten und der Sudan um 1840 (Manesse Bibliothek der Weltgeschichte),Hermann Fürst von Pückler-Muskau,1985.0,Manesse,1,1,,,,,,,,,,,,,1985.0
3442098424,Der F?¼rst der Finsternis. Roman.,Anne Rice,1992.0,Goldmann,1,2,,,,,,,,,,,,,1990.0
3442442532,Falsetto.,Anne Rice,1998.0,Goldmann,1,2,2.089448575838361,1.4501894205135402,1.6767223235582995,89.7997612332584,54.41445560262228,60.11624853096252,77.37130801687763,35.33304794520548,47.625,171.0,115.0,121.0,1995.0
3426612828,Der Fluch der Feuerfrau.,Susan Carroll,2001.0,"Droemersche Verlagsanstalt Th. Knaur Nachf., GmbH &amp Co.",1,1,,,,,,,,,,,,,2000.0
3596102871,Die Feuer von Troia. Roman.,Marion Zimmer Bradley,1990.0,"Fischer (Tb.), Frankfurt",2,2,,,,,,,,,,,,,1990.0
3548256600,Grausame Spiele.,Christopher Rice,2002.0,Ullstein Buchverlage GmbH &amp Co. KG / Ullstein Tas,1,1,,,,,,,,,,,,,2000.0
3426701960,Das Schwert von Avalon.,Marion Zimmer Bradley,2000.0,"Droemersche Verlagsanstalt Th. Knaur Nachf., GmbH &amp Co.",2,2,,,,,,,,,,,,,2000.0
3404141970,Wolfsherz.,Wolfgang Hohlbein,1999.0,L?¼bbe,1,1,,,,,,,,,,,,,1995.0
3442351901,Die H?¼terin von Jericho.,Suzanne Frank,2000.0,Goldmann,2,2,,,,,,,,,,,,,2000.0
3404131312,Das Schwert der Amazone.,Marion Zimmer Bradley,1988.0,L?¼bbe,2,2,,,,,,,,,,,,,1985.0
3404203739,Die Legende von Arcana 1. Die D?¤mmerschmiede.,Frank Rehfeld,1999.0,L?¼bbe,2,3,12.508790482485129,4.279973562458691,5.685922009253139,116.93127761746378,94.2693741547986,106.56585840884716,95.8556338028169,77.99374548953573,91.14746211210009,215.0,143.0,146.0,1995.0
3404203763,Die Legende von Arcana 2. Die Drachenpriester.,Frank Rehfeld,2000.0,L?¼bbe,2,3,,,,,,,,,,,,,2000.0
3426618265,Die Nacht der L?¶wen.,Kuki Gallmann,2001.0,"Droemersche Verlagsanstalt Th. Knaur Nachf., GmbH &amp Co.",1,1,,,,,,,,,,,,,2000.0
3442356644,Wo niemand dich sieht.,Catherine Coulter,2002.0,Goldmann,1,2,,,,,,,,,,,,,2000.0
3453148207,Der Bronzedrache / Trommeln in der D?¤mmerung / Die Teufelsanbeter. Drei spannende Romane.,Marion Zimmer Bradley,1999.0,Heyne,2,2,241.8522853957637,18.88517279821628,31.657562244518765,161.37369676615072,60.67591111344974,41.59748687031588,189.7055449330784,18.88517279821628,31.657562244518765,35.0,26.0,30.0,1995.0
3453869753,Tage des Wolfs. Der erste Roman des Anasazi- Zyklus.,Kathleen ONeal Gear,2003.0,Heyne,2,3,224.3608451634203,159.0057224606581,87.04666006382745,173.44488192784553,108.75968980714458,68.07141140544152,190.3780326422585,88.49757388619321,52.118659020732245,218.0,154.0,87.0,2000.0
3471773487,Die Pferdezauberin.,Barbara Dimmick,1998.0,List,1,1,,,,,,,,,,,,,1995.0
3522171861,Die Engel der D?¤mmerung.,Marion Zimmer Bradley,1998.0,Thienemann Verlag,2,2,115.26258601955811,107.9579862368707,77.03567547989859,98.11159764546603,98.89543469402878,88.03796389487292,101.11168215062266,107.9579862368707,77.03567547989859,69.0,76.0,65.0,1995.0
3596506239,Palast der Winde. Sonderausgabe. Roman.,Mary Margaret Kaye,2003.0,"Fischer (Tb.), Frankfurt",2,2,186.6250890102065,75.30026109660574,80.62152860194635,153.36850505135854,120.57031155264968,123.94639189226469,186.6250890102065,103.95717684377476,112.9052339413164,183.0,82.0,89.0,2000.0
3776622520,Karl May und der Wettermacher,J?¼rgen Heinzerling,2001.0,Herbig,2,3,246.1145242070117,234.79198664440736,169.53856427378966,139.57183644422122,152.4811029867682,122.5440175597063,147.97410284868664,163.22493525712173,134.30965593784683,214.0,212.0,156.0,2000.0
3785720076,Die H?¼ter der Schatten.,Marion Zimmer Bradley,2000.0,L?¼bbe,2,2,123.9819943139939,135.00168474255028,201.7462356533642,149.03952840240729,128.0491881112594,143.33351033943,123.9819943139939,135.00168474255028,158.44602715334966,120.0,124.0,179.0,2000.0
3492231322,Der Unterh?¤ndler.,Frederick Forsyth,2000.0,Piper,1,2,11.535889666701497,5.741510813917041,4.51708285445617,137.28026804064191,97.7054054147276,78.45803537661575,138.93027698185293,76.06736050881757,19.307855251544574,223.0,156.0,115.0,2000.0
3453061187,Die Jury. Roman.,John Grisham,1992.0,Heyne,2,2,,,,,,,,,,,,,1990.0
3453211014,Kaltgestellt.,Colin Forbes,2002.0,Heyne,1,1,16.283117598457725,16.72693472872487,19.94546956761223,112.233361174795,108.77415174078016,109.54825984767508,113.65229380797192,89.47455502632239,87.01579343193782,205.0,201.0,199.0,2000.0
3257228007,Das Parfum: Die Geschichte Eines Morders,Patrick Suskind,1994.0,Distribooks Inc,2,2,,,,,,,,,,,,,1990.0
3453002393,Todesmarsch. Roman.,Richard Bachman,1987.0,Heyne,2,2,,,,,,,,,,,,,1985.0
3453007867,Friedhof der Kuscheltiere. Roman.,Stephen King,1988.0,Heyne,2,2,7.319824125406232,6.41031032944625,2.906518830051615,118.33135612897122,116.92885105182108,90.6132418546537,110.11945945945946,109.15621621621622,91.5545945945946,204.0,202.0,138.0,1985.0
3499150425,Garp und wie er die Welt sah.,John Irving,1982.0,Rowohlt Tb.,2,2,,,,,,,,,,,,,1980.0
3426600218,Dinopark/Jurassic Park,Michael Crichton,1994.0,Distribooks Inc,2,2,17.225068418171865,13.681335522714834,7.703557744937055,164.87969074403804,118.99091637351846,67.97768388370439,183.72565359477125,118.17975663716814,13.581638755980862,183.0,66.0,15.0,1990.0
3404143744,"Survivor, die ??berlebende.",Dean Koontz,2000.0,L?¼bbe,1,2,,,,,,,,,,,,,2000.0
3257233051,Veronika Deschliesst Zu Sterben / Vernika Decides to Die,Paolo Coelho,2002.0,Distribooks,2,2,253.1553058490847,253.24356303021284,245.10284268492336,177.38325931387618,184.8546973840524,156.29460880700535,197.50909794812236,198.0120015485869,165.79094076655053,245.0,244.0,234.0,2000.0
3404118960,Die S?¤ulen der Erde. Roman.,Ken Follett,1992.0,L?¼bbe,2,2,,,,,,,,,,,,,1990.0
3404121686,Nacht ?¼ber den Wassern.,Ken Follett,1994.0,L?¼bbe,2,2,98.28334578043317,117.81418969380134,90.86198655713218,105.36596035903564,117.80964619543488,91.13762568941692,98.28334578043317,117.81418969380134,90.86198655713218,99.0,117.0,91.0,1990.0
3518390473,Der Wettermacher.,Peter Weber,1999.0,Suhrkamp,1,1,,,,,,,,,,,,,1995.0
3499123665,Die Hexen von Eastwick. Roman.,John Updike,1987.0,Rowohlt Tb.,1,1,,,,,,,,,,,,,1985.0
3453159926,Atlantis.,Stephen King,1999.0,"Heyne GmbH &amp Co. KG, Verlag",2,2,12.52063492063492,11.59356725146199,8.458730158730159,121.10861068743786,120.224729494728,100.75148974102746,116.62479201331116,115.35773710482528,79.48211314475874,22.0,21.0,15.0,1995.0
3442431875,Der Pferdefl?¼sterer.,Nicholas Evans,1997.0,Goldmann,2,2,,,,,,,,,,,,,1995.0
3442420970,Abgr?¼ndig.,David L. Lindsey,1993.0,Goldmann,1,1,,,,,,,,,,,,,1990.0
3442092639,Im Schatten der G?¶tter. Roman.,Sidney Sheldon,1989.0,Goldmann,1,2,,,,,,,,,,,,,1985.0
3404144783,Dunkel.,Wolfgang Hohlbein,2001.0,L?¼bbe,1,1,31.112837700589072,27.27859029047329,28.18047938249035,50.32348364625641,48.30557885078505,54.350620194931615,40.35251500724488,36.457048230180085,41.23721796729456,33.0,30.0,33.0,2000.0
3455024947,Die Kammer.,John Grisham,1995.0,Hoffmann &amp Campe,2,2,26.4332006822058,11.48982376350199,19.923820352473,128.80571743920632,106.1466558936173,68.64977965930942,149.6368396001904,98.21184210526316,48.979007162262285,231.0,190.0,61.0,1995.0
3404148665,Illuminati.,Dan Brown,2003.0,L?¼bbe,2,2,,,,,,,,,,,,,2000.0
3453052544,Christine. Roman.,Stephen King,1991.0,Heyne,2,2,,,,,,,,,,,,,1990.0
3548254152,Duddits ' Dreamcatcher'.,Stephen King,2002.0,Ullstein Buchverlage GmbH &amp Co. KG / Ullstein Tas,2,2,101.39484511132623,189.38939980638915,39.452504840271054,98.23017872710108,136.7591447191998,61.26831008175245,101.39484511132623,184.49136724218383,48.260831122900086,104.0,187.0,46.0,2000.0
3596259924,Die Unertragliche Leichtigkeit des Seins...The Unbearable Lightness of Being,Milan Kundera,1997.0,Distribooks Inc,1,2,254.0856782201652,254.0735286383001,254.0686372481986,137.63456787463403,138.09757099195053,138.2009909259747,137.56217107864737,138.08483506385414,138.22999506641509,228.0,227.0,228.0,1995.0
3596282225,Die Nebel von Avalon. Roman.,Marion Zimmer Bradley,2000.0,"Fischer (Tb.), Frankfurt",2,2,,,,,,,,,,,,,2000.0
3404130014,Feuerkind. Thriller.,Stephen King,2003.0,L?¼bbe,2,2,,,,,,,,,,,,,2000.0
3404141849,Intensity.,Dean Koontz,1999.0,L?¼bbe,1,2,,,,,,,,,,,,,1995.0
3453003128,Der Fornit. Unheimliche Geschichten.,Stephen King,1987.0,Heyne,2,2,,,,,,,,,,,,,1985.0
3453021347,Im Morgengrauen. Unheimliche Geschichten.,Stephen King,1985.0,Heyne,2,2,,,,,,,,,,,,,1985.0
3453036972,Das Monstrum. Tommyknockers. Roman.,Stephen King,1990.0,Heyne,2,2,2.4400180261379,2.0785038305543035,1.945651194231636,102.88805404404545,65.22162977691139,59.39481649466312,91.75094991364422,35.59965457685665,37.23834196891192,203.0,116.0,98.0,1990.0
3453171721,Gesch?¶pfe der Nacht.,Dean Koontz,2000.0,Heyne,1,2,,,,,,,,,,,,,2000.0
3257229666,Zirkuskind.,John Irving,2000.0,Diogenes Verlag,2,2,252.68415890142228,252.66531212779373,241.15455755622503,211.54576425719293,208.7794595736072,201.25298471385244,252.68415890142228,252.66531212779373,241.15455755622503,249.0,249.0,242.0,2000.0
3426619466,Lucky Boss. Das zweite Abenteuer der Lucky Santangelo.,Jackie Collins,2001.0,Droemer Knaur,1,2,39.30526471021973,38.43798849727179,42.10234478690459,141.5370180564192,141.93629382433764,145.1611366886138,143.57378689344674,146.44922461230615,152.37818909454728,55.0,55.0,59.0,2000.0
3404128753,Der Schatten des Herrn.,John F. Case,1998.0,L?¼bbe,2,2,3.478227605992987,2.1758367867389223,2.458335989799171,109.05868936707908,84.32413660367301,61.95735278374748,110.75251889168766,91.5969773299748,31.875915750915752,182.0,149.0,109.0,1995.0
3453099737,Azrael.,Wolfgang Hohlbein,1996.0,Heyne,1,1,10.67739221871714,9.224815983175604,12.0726603575184,113.62150783891056,74.76995727222025,70.07056074718218,119.72791952894995,36.92934249263984,59.607611798287344,203.0,126.0,102.0,1995.0
3442451140,Der Medicus von Saragossa.,Noah Gordon,2001.0,Goldmann,1,2,,,,,,,,,,,,,2000.0
3453033264,Schwarzer Mond. Roman.,Dean Koontz,1989.0,Heyne,1,2,,,,,,,,,,,,,1985.0
3442440904,Neandertal. Tal des Lebens.,John Darnton,1998.0,Goldmann,1,1,40.39525691699605,34.56324110671937,22.94438170525127,158.57826739612727,86.99157415852945,48.22533307056324,194.260751471254,72.79762889440309,22.94438170525127,41.0,35.0,24.0,1995.0
3455024998,Der Regenmacher.,John Grisham,1996.0,Hoffmann &amp Campe,2,2,,,,,,,,,,,,,1995.0
3453210697,Die Bruderschaft,John Grisham,2003.0,Distribooks Inc,2,2,,,,,,,,,,,,,2000.0
068140969X,The Complete Frank Miller Batman (Deluxe Leatherbound Series),Frank Miller,1989.0,Longmeadow Press,2,3,,,,,,,,,,,,,1985.0
3216305082,Zu viele M?¤nner.,Lily Brett,2001.0,Deuticke,1,1,,,,,,,,,,,,,2000.0
3257056052,Gottes Werk und Teufels Beitrag.,John Irving,2002.0,Diogenes,2,2,,,,,,,,,,,,,2000.0
